targy_nev,kredit,felelos,nyelv,link
Bankok működése,4,Dr. Varga József,magyar,https://www.uni-corvinus.hu/tantargyak/PSPE030LMSB?semester=2024/25/2
Bankpiac jellemzői és szabályozása,6,Dr. Pesuth Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/PSPE029LMSB?semester=2024/25/2
"Befektetések, opcióárazás",6,Dr. Váradi Kata,magyar,https://www.uni-corvinus.hu/tantargyak/4BO11LT028S?semester=2023/24/2
"Befektetések, opcióárazás",6,Dr. Váradi Kata,magyar,https://www.uni-corvinus.hu/tantargyak/MSOA036LMSB?semester=2024/25/2
Befektetési Bank,3,Dr. Szűcs Balázs Árpád,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NAV03B?semester=2024/25/2
Befektetési ismeretek,3,Dr. Makara Tamás,magyar,https://www.uni-corvinus.hu/tantargyak/2BE52NDK04B?semester=2024/25/2
"Befektetési ismeretek, Bloomberg",6,Dr. Lovas Anita,magyar,https://www.uni-corvinus.hu/tantargyak/PSBV050NMBB?semester=2024/25/2
Behavioral and Socio-Economic Considerations in Policy,6,Zou Jiaqi,magyar,https://www.uni-corvinus.hu/tantargyak/TARS078NABB?semester=2024/25/2
Behavioral Economics,5,Kiss Hubert János,magyar,https://www.uni-corvinus.hu/tantargyak/KG00004NAMB?semester=2024/25/2
Behavioral Economics,5,Kiss Hubert János,magyar,https://www.uni-corvinus.hu/tantargyak/KOZG087NAMB?semester=2024/25/2
Beruházások megvalósítása,6,Dr. Fekete István,magyar,https://www.uni-corvinus.hu/tantargyak/VF00152LMSB?semester=2024/25/2
Beszerzés informatikai támogatása,4,Dr. Tátrai Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60LAK14S?semester=2023/24/1
Beszerzési jog,5,Dr. Tátrai Tünde,magyar,https://www.uni-corvinus.hu/tantargyak/2VL60LAK12S?semester=2023/24/2
Betriebswirtschaftliche Entscheidungstheorie,6,Ágoston Kolos Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/PENZ033NNBB?semester=2024/25/2
